-3.327314,-0.01994377,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994342,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994306,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.0199427,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994234,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994199,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994163,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994127,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994395,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994359,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994324,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994288,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994252,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994216,-549.6567	0,0,0,1	dash_land	0,0,0	0,0,0	False	False
-3.327314,-0.01994181,-549.6567	0,0,0,1	run	0,0,0	0,0,0	False	False
-3.327315,-0.01994151,-549.8519	0,-0.2425356,0,0.9701425	run	0,0,0	0,0,0	False	False
-3.327315,-0.01994121,-550.0971	0,-0.4526936,0,0.8916662	run	0,0,0	0,0,0	False	False
-3.327314,-0.01994401,-550.3423	0,-0.618964,0,0.7854195	run	0,0,0	0,0,0	False	False
-3.327314,-0.01994377,-550.5875	0,-0.7418695,0,0.6705443	run	0,0,0	0,0,0	False	False
-3.327314,-0.01994354,-550.8326	0,-0.8284486,0,0.5600651	run	0,0,0	0,0,0	False	False
-3.327314,-0.01994324,-551.0778	0,-0.887462,0,0.4608811	run	0,0,0	0,0,0	False	False
-3.327314,-0.01994294,-551.323	0,-0.9268108,0,0.3755287	run	0,0,0	0,0,0	False	False
-3.327314,-0.01994264,-551.5682	0,-0.9526708,0,0.304004	run	0,0,0	0,0,0	False	False
-3.327314,-0.01994234,-551.8134	0,-0.9695064,0,0.2450661	run	0,0,0	0,0,0	False	False
-3.327314,-0.01994205,-552.0585	0,-0.9804002,0,0.1970165	run	0,0,0	0,0,0	False	False
-3.327314,-0.01994175,-552.3037	0,-0.9874216,0,0.1581098	run	0,0,0	0,0,0	False	False
-3.327314,-0.01993835,-552.5489	0,-0.9919356,0,0.1267432	run	0,0,0	0,0,0	False	False
-3.327314,-0.01993799,-552.7941	0,-0.9948329,0,0.1015257	run	0,0,0	0,0,0	False	False
-3.327314,-0.01993763,-553.0392	0,-0.9966907,0,0.08128777	run	0,0,0	0,0,0	False	False
-3.327314,-0.01993728,-553.2844	0,-0.9978811,0,0.06506469	run	0,0,0	0,0,0	False	False
-3.327314,-0.01993996,-553.5296	0,-0.9986435,0,0.05206942	run	0,0,0	0,0,0	False	False
-3.327314,-0.0199396,-553.7748	0,-0.9991317,0,0.04166459	run	0,0,0	0,0,0	False	False
-3.327314,-0.01993924,-554.02	0,-0.9994442,0,0.03333631	run	0,0,0	0,0,0	False	False
-3.327314,-0.01993889,-554.2651	0,-0.9996443,0,0.02667143	run	0,0,0	0,0,0	False	False
-3.327314,-0.01993853,-554.5103	0,-0.9997724,0,0.02133837	run	0,0,0	0,0,0	False	False
-3.327314,-0.01993817,-554.7555	0,-0.9998543,0,0.01707133	run	0,0,0	0,0,0	False	False
