-3998.302,9.98,-5392.791	-3.375421E-18,-0.9980865,-2.317483E-18,0.06183453	slide	0,0,0	0,0,0	False	False
-3998.355,9.98,-5393.209	-2.700338E-18,-0.9980698,-1.853987E-18,0.0621028	slide	0,0,0	0,0,0	False	False
-3998.407,9.98,-5393.618	-2.16027E-18,-0.9980564,-1.48319E-18,0.06231742	slide	0,0,0	0,0,0	False	False
-3998.458,9.98,-5394.018	-1.728216E-18,-0.9980457,-1.186552E-18,0.06248911	slide	0,0,0	0,0,0	False	False
-3998.507,9.98,-5394.409	-1.382573E-18,-0.998037,-9.492415E-19,0.06262646	slide	0,0,0	0,0,0	False	False
-3998.556,9.98,-5394.791	-1.106058E-18,-0.9980301,-7.593932E-19,0.06273634	slide	0,0,0	0,0,0	False	False
-3998.604,9.98,-5395.165	-8.848469E-19,-0.9980246,-6.075146E-19,0.06282425	slide	0,0,0	0,0,0	False	False
-3998.65,9.98,-5395.53	-7.078775E-19,-0.9980202,-4.860117E-19,0.06289457	slide	0,0,0	0,0,0	False	False
-3998.695,9.98,-5395.887	-5.663021E-19,-0.9980167,-3.888094E-19,0.06295083	slide	0,0,0	0,0,0	False	False
-3998.74,9.98,-5396.236	-4.530417E-19,-0.9980138,-3.110475E-19,0.06299584	slide	0,0,0	0,0,0	False	False
-3998.783,9.98,-5396.576	-3.624333E-19,-0.9980115,-2.48838E-19,0.06303184	slide	0,0,0	0,0,0	False	False
-3998.825,9.98,-5396.908	-2.899467E-19,-0.9980097,-1.990704E-19,0.06306065	slide	0,0,0	0,0,0	False	False
-3998.866,9.98,-5397.232	-2.319573E-19,-0.9980083,-1.592563E-19,0.06308369	slide	0,0,0	0,0,0	False	False
-3998.907,9.98,-5397.549	-1.855659E-19,-0.9980071,-1.274051E-19,0.06310213	slide	0,0,0	0,0,0	False	False
-3998.946,9.98,-5397.857	-1.484527E-19,-0.9980062,-1.019241E-19,0.06311688	slide	0,0,0	0,0,0	False	False
-3998.984,9.98,-5398.157	-1.187622E-19,-0.9980054,-8.153925E-20,0.06312867	slide	0,0,0	0,0,0	False	False
-3999.021,9.98,-5398.45	-9.500974E-20,-0.9980048,-6.52314E-20,0.06313811	slide	0,0,0	0,0,0	False	False
-3999.057,9.98,-5398.735	-7.600779E-20,-0.9980043,-5.218512E-20,0.06314566	slide	0,0,0	0,0,0	False	False
-3999.092,9.98,-5399.012	-6.080623E-20,-0.998004,-4.17481E-20,0.0631517	slide	0,0,0	0,0,0	False	False
-3999.126,9.98,-5399.282	-4.864499E-20,-0.9980037,-3.339848E-20,0.06315653	slide	0,0,0	0,0,0	False	False
-3999.16,9.98,-5399.544	-3.891599E-20,-0.9980034,-2.671878E-20,0.0631604	slide	0,0,0	0,0,0	False	False
-3999.192,9.98,-5399.799	-3.113279E-20,-0.9980032,-2.137503E-20,0.06316349	slide	0,0,0	0,0,0	False	False
-3999.224,9.98,-5400.047	-2.490624E-20,-0.9980031,-1.710002E-20,0.06316596	slide	0,0,0	0,0,0	False	False
-3999.254,9.98,-5400.287	-1.992499E-20,-0.9980029,-1.368002E-20,0.06316794	slide	0,0,0	0,0,0	False	False
-3999.284,9.98,-5400.521	-1.593999E-20,-0.9980028,-1.094401E-20,0.06316952	slide	0,0,0	0,0,0	False	False
-3999.313,9.98,-5400.747	-1.275199E-20,-0.9980028,-8.755211E-21,0.06317079	stand_levi	0,0,0	0,0,0	False	False
-3999.341,9.98,-5400.966	-1.020159E-20,-0.9980027,-7.004169E-21,0.0631718	run	0,0,0	0,0,0	False	False
-3999.304,9.98,-5401.147	-8.178761E-21,-0.9995328,-5.61534E-21,0.03056515	run	0,0,0	0,0,0	False	False
